County,State
Fairfield,Connecticut
Hartford,Connecticut
Litchfield,Connecticut
New Haven,Connecticut
New London,Connecticut
Kent,Delaware
New Castle,Delaware
Sussex,Delaware
Androscoggin,Maine
Aroostook,Maine
Cumberland,Maine
Hancock,Maine
Oxford,Maine
Penobscot,Maine
Berkshire,Massachusetts
Bristol,Massachusetts
Essex,Massachusetts
Franklin,Massachusetts
Hampden,Massachusetts
Hampshire,Massachusetts
Middlesex,Massachusetts
Norfolk,Massachusetts
Plymouth,Massachusetts
Suffolk,Massachusetts
Worcester,Massachusetts
Baltimore,Maryland
Cecil,Maryland
Dorchester,Maryland
Garrett,Maryland
Harford,Maryland
Howard,Maryland
Kent,Maryland
Montgomery,Maryland
Prince George's,Maryland
Washington,Maryland
Baltimore (City),Maryland
Cheshire,New Hampshire
Grafton,New Hampshire
Hillsborough,New Hampshire
Rockingham,New Hampshire
Atlantic,New Jersey
Bergen,New Jersey
Camden,New Jersey
Cumberland,New Jersey
Essex,New Jersey
Hudson,New Jersey
Hunterdon,New Jersey
Mercer,New Jersey
Middlesex,New Jersey
Union,New Jersey
Warren,New Jersey
Albany,New York
Erie,New York
Essex,New York
Monroe,New York
Queens,New York
Steuben,New York
Adams,Pennsylvania
Allegheny,Pennsylvania
Beaver,Pennsylvania
Blair,Pennsylvania
Bradford,Pennsylvania
Cambria,Pennsylvania
Centre,Pennsylvania
Chester,Pennsylvania
Cumberland,Pennsylvania
Delaware,Pennsylvania
Erie,Pennsylvania
Fayette,Pennsylvania
Greene,Pennsylvania
Lackawanna,Pennsylvania
Lancaster,Pennsylvania
Lehigh,Pennsylvania
Lycoming,Pennsylvania
Mercer,Pennsylvania
Montgomery,Pennsylvania
Northampton,Pennsylvania
Philadelphia,Pennsylvania
Susquehanna,Pennsylvania
Tioga,Pennsylvania
Washington,Pennsylvania
Westmoreland,Pennsylvania
Wyoming,Pennsylvania
York,Pennsylvania
Kent,Rhode Island
Providence,Rhode Island
Washington,Rhode Island
Bennington,Vermont
Chittenden,Vermont
Rutland,Vermont
